seq,red_raw,ir_raw,red_fir,ir_fir
971,-465286,-465351,-201113.328125,-201143.031250
972,-465300,-465359,68.719766,68.870781
973,-465297,-465373,-201110.984375,-201142.468750
974,-465298,-465361,-201109.750000,-201142.140625
975,-465309,-465374,72.079141,70.058281
976,-465309,-465385,-201107.500000,-201140.656250
977,-465311,-465377,-201106.078125,-201139.515625
978,-465324,-465388,76.282266,73.745781
979,-465322,-465399,-201102.437500,-201135.875000
980,-465322,-465388,-201100.000000,-201133.343750
981,-465336,-465399,83.751016,81.433281
982,-465336,-465412,-201093.390625,-201126.593750
983,-465336,-465400,-201089.390625,-201122.468750
984,-465348,-465412,95.907266,93.777031
985,-465348,-465423,-201080.000000,-201113.156250
986,-465348,-465410,-201074.843750,-201108.281250
987,-465355,-465420,111.126016,108.402031
988,-465356,-465430,-201064.640625,-201098.515625
989,-465352,-465416,-201059.906250,-201093.843750
990,-465360,-465423,125.094766,121.964531
991,-465358,-465438,-201052.046875,-201086.031250
992,-465357,-465424,-201049.187500,-201082.875000
993,-465366,-465432,133.829141,131.261406
994,-465365,-465443,-201045.828125,-201078.500000
995,-465363,-465426,-201045.093750,-201077.265625
996,-465370,-465434,135.719766,134.902031
997,-465366,-465444,-201045.875000,-201076.796875
998,-465364,-465430,-201047.187500,-201077.593750
999,-465370,-465436,131.829141,132.589531
1000,-465365,-465445,-201051.234375,-201081.125000
1001,-465362,-465434,-201054.015625,-201083.921875
1002,-465368,-465440,123.563516,124.214531
1003,-465364,-465445,-201061.031250,-201091.734375
1004,-465356,-465428,-201065.500000,-201096.750000
1005,-465358,-465431,110.235391,109.167656
1006,-465353,-465435,-201076.359375,-201108.890625
1007,-465347,-465416,-201082.812500,-201115.937500
1008,-465350,-465419,90.844766,88.105156
1009,-465343,-465422,-201097.906250,-201131.687500
1010,-465336,-465403,-201106.250000,-201140.000000
1011,-465339,-465409,65.860391,63.136406
1012,-465335,-465415,-201123.875000,-201157.078125
1013,-465328,-465398,-201132.781250,-201165.406250
1014,-465332,-465402,39.454141,38.355156
1015,-465324,-465404,-201149.609375,-201180.781250
1016,-465315,-465384,-201157.000000,-201187.593750
1017,-465319,-465389,17.188516,17.870781
1018,-465314,-465393,-201169.625000,-201199.281250
1019,-465306,-465375,-201174.546875,-201203.953125
1020,-465307,-465377,1.922891,3.667656
1021,-465301,-465379,-201182.437500,-201211.562500
1022,-465293,-465360,-201185.609375,-201214.609375
