seq,red_raw,ir_raw,red_fir,ir_fir
5615,-44113,-27769,-19077.171214,-12009.021545
5616,-44114,-27765,-19077.171130,-12009.021880
5617,-44111,-27759,-19077.171233,-119.064379
5618,-44107,-27756,-19077.171787,-12009.025009
5619,-44103,-27754,-19077.173085,-12009.028172
5620,-44102,-27754,-19077.175197,-119.073814
5621,-44101,-27754,-19077.178227,-12009.037542
5622,-44098,-27749,-19077.182317,-12009.043618
5623,-44100,-27750,-19077.187007,-119.091331
5624,-44104,-27750,-19077.191652,-12009.055951
5625,-44107,-27748,-19077.195586,-12009.061347
5626,-44110,-27747,-19077.198064,-119.107219
5627,-44115,-27753,-19077.198306,-12009.068826
5628,-44120,-27755,-19077.195883,-12009.070745
5629,-44126,-27760,-19077.190725,-119.113344
5630,-44140,-27770,-19077.182653,-12009.072810
5631,-44143,-27770,-19077.173093,-12009.074937
5632,-44149,-27776,-19077.163323,-119.120629
5633,-44155,-27782,-19077.154978,-12009.086662
5634,-44159,-27785,-19077.149771,-12009.098131
5635,-44166,-27792,-19077.148652,-119.154937
5636,-44174,-27799,-19077.151709,-12009.132146
5637,-44181,-27801,-19077.157954,-12009.152879
5638,-44188,-27803,-19077.165081,-119.215247
5639,-44195,-27812,-19077.169648,-12009.192191
5640,-44198,-27813,-19077.167815,-12009.205857
5641,-44203,-27812,-19077.155400,-119.254465
5642,-44209,-27819,-19077.128892,-12009.212141
5643,-44207,-27818,-19077.086884,-12009.203443
5644,-44201,-27812,-19077.030126,-119.230160
5645,-44187,-27803,-19076.962310,-12009.171275
5646,-44164,-27788,-19076.889901,-12009.155628
5647,-44137,-27766,-19076.821051,-119.188697
5648,-44108,-27739,-19076.764378,-12009.151657
5649,-44073,-27710,-19076.727756,-12009.172959
5650,-44041,-27684,-19076.715810,-119.254454
5651,-44015,-27663,-19076.728511,-12009.270638
5652,-43992,-27645,-19076.760629,-12009.341186
5653,-43978,-27627,-19076.801250,-119.458768
5654,-43972,-27616,-19076.835210,-12009.489377
