Timestamp_Local,Epoch_Time_s,Packet_Type,Seq,Valid,Calibrated,SpO2_%,HR_BPM,PI_%,Ratio_R,HR_Time_BPM,HR_FFT_BPM,Motion_State,Battery_%,Battery_mV,Raw_Hex
2026-09-08 09:07:01.367,1788829621.367,SpO2,67002,1,0,88.39,82.0,0.32,0.8464,82.0,82.2,Still,,,A5 01 01 00 BA 05 01 00 87 22 34 03 20 00 10 21 34 03 36 03
2026-09-08 09:07:01.378,1788829621.378,SpO2,67077,1,0,88.09,82.9,0.32,0.8537,82.9,83.0,Still,,,A5 01 01 00 05 06 01 00 69 22 3D 03 20 00 59 21 3D 03 3E 03
2026-09-08 09:07:02.255,1788829622.255,SpO2,67152,1,0,87.13,84.3,0.33,0.8765,84.3,83.8,Still,,,A5 01 01 00 50 06 01 00 09 22 4B 03 21 00 3D 22 4B 03 46 03
2026-09-08 09:07:03.015,1788829623.015,SpO2,67227,1,0,87.19,84.3,0.36,0.8749,84.3,85.4,Still,,,A5 01 01 00 9B 06 01 00 0F 22 4B 03 24 00 2D 22 4B 03 56 03
2026-09-08 09:07:04.155,1788829624.155,SpO2,67302,1,0,87.13,84.8,0.39,0.8765,84.8,86.3,Still,,,A5 01 01 00 E6 06 01 00 09 22 50 03 27 00 3D 22 50 03 5F 03
2026-09-08 09:07:05.356,1788829625.356,SpO2,67377,1,0,87.50,84.3,0.41,0.8676,84.3,85.6,Still,,,A5 01 01 00 31 07 01 00 2E 22 4B 03 29 00 E4 21 4B 03 58 03
2026-09-08 09:07:06.135,1788829626.136,SpO2,67452,1,0,87.97,84.3,0.41,0.8566,84.3,83.3,Still,,,A5 01 01 00 7C 07 01 00 5D 22 4B 03 29 00 76 21 4B 03 41 03
2026-09-08 09:07:07.304,1788829627.305,SpO2,67527,1,0,88.33,83.8,0.38,0.8479,83.8,82.0,Still,,,A5 01 01 00 C7 07 01 00 81 22 46 03 26 00 1F 21 46 03 34 03
2026-09-08 09:07:08.025,1788829628.025,SpO2,67602,1,0,88.98,84.3,0.37,0.8321,84.3,81.9,Still,,,A5 01 01 00 12 08 01 00 C2 22 4B 03 25 00 81 20 4B 03 33 03
2026-09-08 09:07:08.084,1788829628.085,Battery,67602,1,,,,,,,,,51,3694,A5 02 01 33 6E 0E 12 08 01 00 00 73 00 00 00 00 62 01 00 00
2026-09-08 09:07:09.194,1788829629.195,SpO2,67677,1,0,89.16,83.8,0.34,0.8275,83.8,82.9,Still,,,A5 01 01 00 5D 08 01 00 D4 22 46 03 22 00 53 20 46 03 3D 03
2026-09-08 09:07:10.334,1788829630.335,SpO2,67752,1,0,89.18,84.3,0.32,0.8272,84.3,85.3,Still,,,A5 01 01 00 A8 08 01 00 D6 22 4B 03 20 00 50 20 4B 03 55 03
2026-09-08 09:07:11.114,1788829631.115,SpO2,67827,1,0,89.17,84.3,0.31,0.8275,84.3,86.5,Still,,,A5 01 01 00 F3 08 01 00 D5 22 4B 03 1F 00 53 20 4B 03 61 03
2026-09-08 09:07:12.254,1788829632.255,SpO2,67902,1,0,89.22,85.1,0.31,0.8263,85.1,86.4,Still,,,A5 01 01 00 3E 09 01 00 DA 22 53 03 1F 00 47 20 53 03 60 03
2026-09-08 09:07:13.065,1788829633.065,SpO2,67977,1,0,89.05,85.7,0.31,0.8304,85.7,86.0,Still,,,A5 01 01 00 89 09 01 00 C9 22 59 03 1F 00 70 20 59 03 5C 03
2026-09-08 09:07:14.204,1788829634.205,SpO2,68052,1,0,89.14,86.4,0.32,0.8280,86.4,85.9,Still,,,A5 01 01 00 D4 09 01 00 D2 22 60 03 20 00 58 20 60 03 5B 03
2026-09-08 09:07:15.014,1788829635.015,SpO2,68127,1,0,89.04,86.7,0.33,0.8305,86.7,86.3,Still,,,A5 01 01 00 1F 0A 01 00 C8 22 63 03 21 00 71 20 63 03 5F 03
2026-09-08 09:07:16.125,1788829636.125,SpO2,68202,1,0,89.26,87.8,0.35,0.8252,87.8,87.2,Still,,,A5 01 01 00 6A 0A 01 00 DE 22 6E 03 23 00 3C 20 6E 03 68 03
2026-09-08 09:07:17.295,1788829637.295,SpO2,68277,1,0,87.57,89.3,0.38,0.8659,89.3,88.3,Still,,,A5 01 01 00 B5 0A 01 00 35 22 7D 03 26 00 D3 21 7D 03 73 03
2026-09-08 09:07:18.044,1788829638.045,SpO2,68352,1,0,87.23,90.2,0.38,0.8741,90.2,90.2,Still,,,A5 01 01 00 00 0B 01 00 13 22 86 03 26 00 25 22 86 03 86 03
2026-09-08 09:07:19.215,1788829639.216,SpO2,68427,1,0,87.32,90.2,0.48,0.8718,90.2,92.7,Still,,,A5 01 01 00 4B 0B 01 00 1C 22 86 03 30 00 0E 22 86 03 9F 03
2026-09-08 09:07:19.994,1788829639.995,SpO2,68502,1,0,87.50,91.7,0.68,0.8677,91.7,93.4,Still,,,A5 01 01 00 96 0B 01 00 2E 22 95 03 44 00 E5 21 95 03 A6 03
2026-09-08 09:07:21.134,1788829641.135,SpO2,68577,1,0,87.41,91.7,0.96,0.8698,91.7,93.1,Still,,,A5 01 01 00 E1 0B 01 00 25 22 95 03 60 00 FA 21 95 03 A3 03
2026-09-08 09:07:22.305,1788829642.305,SpO2,68652,1,0,87.51,89.7,1.19,0.8675,89.7,92.1,Still,,,A5 01 01 00 2C 0C 01 00 2F 22 81 03 77 00 E3 21 81 03 99 03
2026-09-08 09:07:23.084,1788829643.085,SpO2,68727,1,0,87.87,89.2,1.38,0.8589,89.2,89.7,Still,,,A5 01 01 00 77 0C 01 00 53 22 7C 03 8A 00 8D 21 7C 03 81 03
2026-09-08 09:07:24.225,1788829644.226,SpO2,68802,1,0,89.91,86.7,1.48,0.8094,86.7,87.8,Still,,,A5 01 01 00 C2 0C 01 00 1F 23 63 03 94 00 9E 1F 63 03 6E 03
2026-09-08 09:07:25.005,1788829645.006,SpO2,68877,1,0,90.46,84.8,1.52,0.7950,84.8,83.6,Still,,,A5 01 01 00 0D 0D 01 00 56 23 50 03 98 00 0E 1F 50 03 44 03
2026-09-08 09:07:26.174,1788829646.175,SpO2,68952,1,0,91.63,81.6,1.35,0.7638,81.6,80.3,Still,,,A5 01 01 00 58 0D 01 00 CB 23 30 03 87 00 D6 1D 30 03 23 03
2026-09-08 09:07:26.955,1788829646.955,SpO2,69027,1,0,91.81,80.7,1.12,0.7591,80.7,76.8,Still,,,A5 01 01 00 A3 0D 01 00 DD 23 27 03 70 00 A7 1D 27 03 00 03
2026-09-08 09:07:28.094,1788829648.095,SpO2,69102,1,0,92.20,79.0,0.91,0.7488,79.0,75.8,Still,,,A5 01 01 00 EE 0D 01 00 04 24 16 03 5B 00 40 1D 16 03 F6 02
2026-09-08 09:07:29.265,1788829649.265,SpO2,69177,1,0,92.11,79.8,0.71,0.7512,79.8,76.5,Still,,,A5 01 01 00 39 0E 01 00 FB 23 1E 03 47 00 58 1D 1E 03 FD 02
2026-09-08 09:07:30.015,1788829650.015,SpO2,69252,1,0,91.11,101.2,0.50,0.7774,101.2,80.9,Still,,,A5 01 01 00 84 0E 01 00 97 23 F4 03 32 00 5E 1E F4 03 29 03
2026-09-08 09:07:31.184,1788829651.185,SpO2,69327,1,0,90.57,104.3,0.39,0.7919,104.3,82.5,Still,,,A5 01 01 00 CF 0E 01 00 61 23 13 04 27 00 EF 1E 13 04 39 03
2026-09-08 09:07:31.964,1788829651.965,SpO2,69402,1,0,89.69,109.4,0.40,0.8149,109.4,82.7,Still,,,A5 01 01 00 1A 0F 01 00 09 23 46 04 28 00 D5 1F 46 04 3B 03
2026-09-08 09:07:33.105,1788829653.106,SpO2,69477,1,0,88.38,122.9,0.47,0.8465,122.9,82.3,Still,,,A5 01 01 00 65 0F 01 00 86 22 CD 04 2F 00 11 21 CD 04 37 03
2026-09-08 09:07:34.274,1788829654.275,SpO2,69552,1,0,87.32,129.4,0.53,0.8719,129.4,81.8,Still,,,A5 01 01 00 B0 0F 01 00 1C 22 0E 05 35 00 0F 22 0E 05 32 03
2026-09-08 09:07:35.054,1788829655.055,SpO2,69627,1,0,86.83,133.6,0.60,0.8833,133.6,79.4,Still,,,A5 01 01 00 FB 0F 01 00 EB 21 38 05 3C 00 81 22 38 05 1A 03
2026-09-08 09:07:36.194,1788829656.195,SpO2,69702,1,0,86.17,127.2,0.55,0.8983,127.2,75.5,Still,,,A5 01 01 00 46 10 01 00 A9 21 F8 04 37 00 17 23 F8 04 F3 02
2026-09-08 09:07:36.975,1788829656.976,SpO2,69777,1,0,85.46,119.4,0.49,0.9133,119.4,73.3,Still,,,A5 01 01 00 91 10 01 00 62 21 AA 04 31 00 AD 23 AA 04 DD 02
2026-09-08 09:07:38.144,1788829658.145,SpO2,69852,1,0,85.74,123.0,0.40,0.9075,123.0,73.3,Still,,,A5 01 01 00 DC 10 01 00 7E 21 CE 04 28 00 73 23 CE 04 DD 02
2026-09-08 09:07:38.205,1788829658.205,Battery,69852,1,,,,,,,,,51,3694,A5 02 01 33 6E 0E DC 10 01 00 00 73 00 00 00 00 62 01 00 00
2026-09-08 09:07:39.284,1788829659.285,SpO2,69927,1,0,85.83,134.9,0.38,0.9057,134.9,75.6,Still,,,A5 01 01 00 27 11 01 00 87 21 45 05 26 00 61 23 45 05 F4 02
2026-09-08 09:07:40.064,1788829660.065,SpO2,70002,1,0,86.18,137.9,0.38,0.8982,137.9,77.6,Still,,,A5 01 01 00 72 11 01 00 AA 21 63 05 26 00 16 23 63 05 08 03
2026-09-08 09:07:41.235,1788829661.235,SpO2,70077,1,0,86.28,118.7,0.38,0.8957,118.7,78.6,Still,,,A5 01 01 00 BD 11 01 00 B4 21 A3 04 26 00 FD 22 A3 04 12 03
2026-09-08 09:07:41.984,1788829661.985,SpO2,70152,1,0,86.68,101.1,0.40,0.8868,101.1,78.0,Still,,,A5 01 01 00 08 12 01 00 DC 21 F3 03 28 00 A4 22 F3 03 0C 03
2026-09-08 09:07:43.157,1788829663.157,SpO2,70227,1,0,87.29,104.1,0.44,0.8726,104.1,77.3,Still,,,A5 01 01 00 53 12 01 00 19 22 11 04 2C 00 16 22 11 04 05 03
2026-09-08 09:07:43.965,1788829663.966,SpO2,70302,1,0,87.57,102.3,0.43,0.8660,102.3,77.0,Still,,,A5 01 01 00 9E 12 01 00 35 22 FF 03 2B 00 D4 21 FF 03 02 03
2026-09-08 09:07:45.104,1788829665.105,SpO2,70377,1,0,87.98,100.6,0.39,0.8564,100.6,76.1,Still,,,A5 01 01 00 E9 12 01 00 5E 22 EE 03 27 00 74 21 EE 03 F9 02
2026-09-08 09:07:46.244,1788829666.245,SpO2,70452,1,0,88.73,94.3,0.36,0.8382,94.3,74.5,Still,,,A5 01 01 00 34 13 01 00 A9 22 AF 03 24 00 BE 20 AF 03 E9 02
2026-09-08 09:07:47.025,1788829667.025,SpO2,70527,1,0,89.26,84.3,0.34,0.8252,84.3,73.9,Still,,,A5 01 01 00 7F 13 01 00 DE 22 4B 03 22 00 3C 20 4B 03 E3 02
2026-09-08 09:07:48.165,1788829668.165,SpO2,70602,1,0,89.92,76.3,0.32,0.8093,76.3,75.4,Still,,,A5 01 01 00 CA 13 01 00 20 23 FB 02 20 00 9D 1F FB 02 F2 02
2026-09-08 09:07:48.944,1788829668.945,SpO2,70677,1,0,90.47,77.2,0.32,0.7945,77.2,76.9,Still,,,A5 01 01 00 15 14 01 00 57 23 04 03 20 00 09 1F 04 03 01 03
2026-09-08 09:07:50.115,1788829670.116,SpO2,70752,1,0,90.70,78.1,0.38,0.7884,78.1,78.8,Still,,,A5 01 01 00 60 14 01 00 6E 23 0D 03 26 00 CC 1E 0D 03 14 03
2026-09-08 09:07:51.255,1788829671.256,SpO2,70827,1,0,91.03,78.1,0.43,0.7794,78.1,80.6,Still,,,A5 01 01 00 AB 14 01 00 8F 23 0D 03 2B 00 72 1E 0D 03 26 03
2026-09-08 09:07:52.035,1788829672.036,SpO2,70902,1,0,91.04,83.8,0.44,0.7793,83.8,80.4,Still,,,A5 01 01 00 F6 14 01 00 90 23 46 03 2C 00 71 1E 46 03 24 03
2026-09-08 09:07:53.205,1788829673.206,SpO2,70977,1,0,90.59,93.8,0.41,0.7913,93.8,77.6,Still,,,A5 01 01 00 41 15 01 00 63 23 AA 03 29 00 E9 1E AA 03 08 03
2026-09-08 09:07:53.955,1788829673.955,SpO2,71052,1,0,90.66,96.0,0.40,0.7894,96.0,75.5,Still,,,A5 01 01 00 8C 15 01 00 6A 23 C0 03 28 00 D6 1E C0 03 F3 02
2026-09-08 09:07:55.125,1788829675.126,SpO2,71127,1,0,90.67,96.0,0.38,0.7891,96.0,75.4,Still,,,A5 01 01 00 D7 15 01 00 6B 23 C0 03 26 00 D3 1E C0 03 F2 02
2026-09-08 09:07:55.905,1788829675.905,SpO2,71202,1,0,90.64,92.8,0.33,0.7901,92.8,77.0,Still,,,A5 01 01 00 22 16 01 00 68 23 A0 03 21 00 DD 1E A0 03 02 03
2026-09-08 09:07:57.045,1788829677.045,SpO2,71277,1,0,90.60,93.8,0.30,0.7911,93.8,78.4,Still,,,A5 01 01 00 6D 16 01 00 64 23 AA 03 1E 00 E7 1E AA 03 10 03
2026-09-08 09:07:58.215,1788829678.215,SpO2,71352,1,0,90.40,100.0,0.28,0.7966,100.0,78.0,Still,,,A5 01 01 00 B8 16 01 00 50 23 E8 03 1C 00 1E 1F E8 03 0C 03
2026-09-08 09:07:58.994,1788829678.995,SpO2,71427,1,0,90.39,101.6,0.30,0.7968,101.6,77.4,Still,,,A5 01 01 00 03 17 01 00 4F 23 F8 03 1E 00 20 1F F8 03 06 03
