File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
irq.o,0.027153%,113,9,104,0,9,0
floorf.o,0.026913%,112,0,112,0,0,0
components.o,0.026432%,110,0,110,0,0,0
ceilf.o,0.025951%,108,0,108,0,0,0
uldiv.o,0.023548%,98,0,98,0,0,0
__dclz77c.o,0.022587%,94,0,94,0,0,0
app_main.o,0.020425%,85,1,84,0,1,0
n32wb452_bkp.o,0.020184%,84,0,84,0,0,0
ke.o,0.016340%,68,48,68,0,0,48
arm_bitreversal2.o,0.016340%,68,0,68,0,0,0
rwble_hl.o,0.014417%,60,0,60,0,0,0
sqrtf.o,0.013937%,58,0,58,0,0,0
eif_timer.o,0.013456%,56,0,56,0,0,0
printfb.o,0.012015%,50,0,50,0,0,0
funder.o,0.010092%,42,0,42,0,0,0
rand.o,0.009612%,40,4,36,0,4,0
memseta.o,0.008650%,36,0,36,0,0,0
memcpya.o,0.008650%,36,0,36,0,0,0
init.o,0.008650%,36,0,36,0,0,0
llushr.o,0.007689%,32,0,32,0,0,0
arm_fir_init_f32.o,0.007689%,32,0,32,0,0,0
n32wb452_dbg.o,0.007689%,32,0,32,0,0,0
llshl.o,0.007209%,30,0,30,0,0,0
handlers.o,0.007209%,30,0,30,0,0,0
memcmp.o,0.006248%,26,0,26,0,0,0
gattm_task.o,0.005046%,21,1,4,16,1,0
eif_flash.o,0.004806%,20,0,20,0,0,0
fputc.o,0.004325%,18,0,18,0,0,0
errno.o,0.003845%,16,4,12,0,4,0
strlen.o,0.003364%,14,0,14,0,0,0
entry9a.o,0.001922%,8,0,8,0,0,0
entry2.o,0.001922%,8,0,8,0,0,0
stdout.o,0.000961%,4,4,0,0,4,0
entry5.o,0.000961%,4,0,4,0,0,0
entry12b.o,0.000961%,4,0,4,0,0,0
